code,name,areaCode,provinceCode,cityCode
150402001,"西屯街道办事处",150402,15,1504
150402002,"三中街街道办事处",150402,15,1504
150402003,"永巨街道办事处",150402,15,1504
150402004,"东城街道办事处",150402,15,1504
150402005,"南新街街道办事处",150402,15,1504
150402006,"站前街道办事处",150402,15,1504
150402007,"铁南街道办事处",150402,15,1504
150402008,"长青街道办事处",150402,15,1504
150402009,"哈达街道办事处",150402,15,1504
150402010,"西城街道办事处",150402,15,1504
150402011,"桥北街道办事处",150402,15,1504
150402100,"红庙子镇",150402,15,1504
150402102,"文钟镇",150402,15,1504
150402400,"红山高新技术产业园区",150402,15,1504
150402401,"红山物流园区",150402,15,1504
150402402,"红山区农畜产品加工产业园区",150402,15,1504
150403001,"西露天街道办事处",150403,15,1504
150403002,"平庄城区街道办事处",150403,15,1504
150403003,"平庄东城街道办事处",150403,15,1504
150403004,"平庄西城街道办事处",150403,15,1504
150403005,"马林街道办事处",150403,15,1504
150403006,"云杉路街道办事处",150403,15,1504
150403100,"风水沟镇",150403,15,1504
150403101,"元宝山镇",150403,15,1504
150403102,"美丽河镇",150403,15,1504
150403103,"平庄镇",150403,15,1504
150403104,"五家镇",150403,15,1504
150403200,"小五家乡",150403,15,1504
150404001,"振兴街道办事处",150404,15,1504
150404002,"向阳街道办事处",150404,15,1504
150404003,"松州街道办事处",150404,15,1504
150404004,"铁东街道办事处",150404,15,1504
150404100,"穆家营子镇",150404,15,1504
150404101,"初头朗镇",150404,15,1504
150404102,"大庙镇",150404,15,1504
150404103,"王府镇",150404,15,1504
150404104,"老府镇",150404,15,1504
150404105,"哈拉道口镇",150404,15,1504
150404106,"上官地镇",150404,15,1504
150404107,"安庆镇",150404,15,1504
150404108,"太平地镇",150404,15,1504
150404200,"当铺地满族乡",150404,15,1504
150404201,"夏家店乡",150404,15,1504
150404202,"城子乡",150404,15,1504
150404203,"大夫营子乡",150404,15,1504
150404204,"岗子乡",150404,15,1504
150404400,"玉龙街道办事处",150404,15,1504
150404401,"全宁街道办事处",150404,15,1504
150404407,"兴安街道办事处",150404,15,1504
150421100,"天山镇",150421,15,1504
150421101,"天山口镇",150421,15,1504
150421102,"双胜镇",150421,15,1504
150421103,"坤都镇",150421,15,1504
150421104,"巴彦花镇",150421,15,1504
150421105,"绍根镇",150421,15,1504
150421106,"扎嘎斯台镇",150421,15,1504
150421200,"新民乡",150421,15,1504
150421201,"先锋乡",150421,15,1504
150421202,"罕苏木苏木",150421,15,1504
150421203,"赛汉塔拉苏木",150421,15,1504
150421204,"巴拉奇如德苏木",150421,15,1504
150421205,"乌兰哈达乡",150421,15,1504
150421206,"巴彦温都尔苏木",150421,15,1504
150421400,"轻工食品产业园",150421,15,1504
150421401,"新能源产业园",150421,15,1504
150421402,"绍根煤碳及煤化工产业园",150421,15,1504
150421403,"罕乌拉街道办事处",150421,15,1504
150421404,"欧沐沦街道办事处",150421,15,1504
150422100,"林东镇",150422,15,1504
150422101,"隆昌镇",150422,15,1504
150422102,"十三敖包镇",150422,15,1504
150422103,"碧流台镇",150422,15,1504
150422104,"富河镇",150422,15,1504
150422105,"白音勿拉镇",150422,15,1504
150422106,"哈拉哈达镇",150422,15,1504
150422200,"查干哈达苏木",150422,15,1504
150422201,"乌兰达坝苏木",150422,15,1504
150422202,"三山乡",150422,15,1504
150422203,"花加拉嘎乡",150422,15,1504
150422400,"上京高新技术产业集中区",150422,15,1504
150422401,"南塔工业集中区",150422,15,1504
150422402,"凤凰山工业集中区",150422,15,1504
150422403,"林东西城街道办事处",150422,15,1504
150422404,"林东东城街道办事处",150422,15,1504
150423100,"大板镇",150423,15,1504
150423101,"索博日嘎镇",150423,15,1504
150423102,"宝日勿苏镇",150423,15,1504
150423103,"查干诺尔镇",150423,15,1504
150423105,"巴彦琥硕镇",150423,15,1504
150423200,"西拉沐沦苏木",150423,15,1504
150423201,"巴彦塔拉苏木",150423,15,1504
150423202,"幸福之路苏木",150423,15,1504
150423203,"查干沐沦苏木",150423,15,1504
150423400,"大板煤电化基地",150423,15,1504
150424100,"林西镇",150424,15,1504
150424101,"新城子镇",150424,15,1504
150424102,"新林镇",150424,15,1504
150424103,"五十家子镇",150424,15,1504
150424104,"官地镇",150424,15,1504
150424105,"大井镇",150424,15,1504
150424106,"统部镇",150424,15,1504
150424200,"大营子乡",150424,15,1504
150424201,"十二吐乡",150424,15,1504
150424400,"城北街道办事处筹备处",150424,15,1504
150424401,"城南街道办事处筹备处",150424,15,1504
150424402,"内蒙古林西工业园区",150424,15,1504
150425100,"经棚镇",150425,15,1504
150425101,"宇宙地镇",150425,15,1504
150425102,"土城子镇",150425,15,1504
150425103,"同兴镇",150425,15,1504
150425104,"万合永镇",150425,15,1504
150425105,"芝瑞镇",150425,15,1504
150425106,"达来诺日镇",150425,15,1504
150425200,"新开地乡",150425,15,1504
150425201,"红山子乡",150425,15,1504
150425202,"达日罕乌拉苏木",150425,15,1504
150425203,"巴彦查干苏木",150425,15,1504
150425204,"浩来呼热苏木",150425,15,1504
150425205,"乌兰布统苏木",150425,15,1504
150425400,"应昌街道办事处",150425,15,1504
150425401,"热水塘温泉疗养旅游开发区管委会",150425,15,1504
150425402,"克什克腾旗煤电化基地",150425,15,1504
150425403,"西拉沐沦街道办事处",150425,15,1504
150425502,"克什克腾旗渔场",150425,15,1504
150426100,"乌丹镇",150426,15,1504
150426101,"乌敦套海镇",150426,15,1504
150426102,"五分地镇",150426,15,1504
150426103,"桥头镇",150426,15,1504
150426104,"广德公镇",150426,15,1504
150426105,"梧桐花镇",150426,15,1504
150426106,"海拉苏镇",150426,15,1504
150426107,"亿合公镇",150426,15,1504
150426200,"解放营子乡",150426,15,1504
150426201,"阿什罕苏木",150426,15,1504
150426202,"新苏莫苏木",150426,15,1504
150426203,"白音套海苏木",150426,15,1504
150426204,"毛山东乡",150426,15,1504
150426205,"格日僧苏木",150426,15,1504
150426400,"玉龙工业园区",150426,15,1504
150426402,"紫城街道筹备处",150426,15,1504
150426403,"全宁街道筹备处",150426,15,1504
150428100,"锦山镇",150428,15,1504
150428101,"美林镇",150428,15,1504
150428102,"王爷府镇",150428,15,1504
150428103,"小牛群镇",150428,15,1504
150428104,"牛家营子镇",150428,15,1504
150428105,"乃林镇",150428,15,1504
150428106,"西桥镇",150428,15,1504
150428200,"十家满族乡",150428,15,1504
150428201,"南台子乡",150428,15,1504
150428400,"乃林果树农场",150428,15,1504
150428401,"马鞍山羊场",150428,15,1504
150428402,"赤峰市和美工贸园区",150428,15,1504
150428403,"锦山工业园区",150428,15,1504
150429100,"天义镇",150429,15,1504
150429101,"小城子镇",150429,15,1504
150429102,"大城子镇",150429,15,1504
150429103,"八里罕镇",150429,15,1504
150429104,"黑里河镇",150429,15,1504
150429105,"右北平镇",150429,15,1504
150429106,"大双庙镇",150429,15,1504
150429107,"汐子镇",150429,15,1504
150429108,"大明镇",150429,15,1504
150429109,"忙农镇",150429,15,1504
150429110,"五化镇",150429,15,1504
150429111,"三座店镇",150429,15,1504
150429112,"必斯营子镇",150429,15,1504
150429202,"一肯中乡",150429,15,1504
150429203,"存金沟乡",150429,15,1504
150429400,"中京工业园",150429,15,1504
150429401,"塞飞亚食品工业园",150429,15,1504
150429402,"八里罕酒业园区",150429,15,1504
150429403,"再生资源产业园",150429,15,1504
150429404,"生物科技产业园区",150429,15,1504
150429405,"汐子工业园",150429,15,1504
150429406,"农机产业园区",150429,15,1504
150430100,"新惠镇",150430,15,1504
150430101,"四家子镇",150430,15,1504
150430102,"长胜镇",150430,15,1504
150430103,"贝子府镇",150430,15,1504
150430104,"四道湾子镇",150430,15,1504
150430105,"下洼镇",150430,15,1504
150430106,"金厂沟梁镇",150430,15,1504
150430107,"兴隆洼镇",150430,15,1504
150430108,"黄羊洼镇",150430,15,1504
150430109,"牛古吐镇",150430,15,1504
150430110,"古鲁板蒿镇",150430,15,1504
150430202,"木头营子乡",150430,15,1504
150430204,"丰收乡",150430,15,1504
150430205,"玛尼罕乡",150430,15,1504
150430206,"萨力巴乡",150430,15,1504
150430207,"敖润苏莫苏木",150430,15,1504
150430400,"国营种羊场",150430,15,1504
150430401,"敖汉旗新惠工业园区",150430,15,1504
150430402,"贝子府化工集中区",150430,15,1504
150430403,"四家子冶金工业集中区",150430,15,1504
