code,name,streetCode,provinceCode,cityCode,areaCode
150422100200,"镇内",150422100,15,1504,150422
150422100201,"福山地村",150422100,15,1504,150422
150422100202,"大新庄村",150422100,15,1504,150422
150422100203,"兴隆地村",150422100,15,1504,150422
150422100204,"朝阳营子村",150422100,15,1504,150422
150422100205,"柴达木村",150422100,15,1504,150422
150422100206,"罕吐柏村",150422100,15,1504,150422
150422100207,"太平村",150422100,15,1504,150422
150422100208,"蟠龙岗村",150422100,15,1504,150422
150422100209,"山湾村",150422100,15,1504,150422
150422100210,"宝力罕吐村",150422100,15,1504,150422
150422100211,"八一村",150422100,15,1504,150422
150422100212,"先锋村",150422100,15,1504,150422
150422100213,"红卫庄村",150422100,15,1504,150422
150422100214,"井子沟村",150422100,15,1504,150422
150422100215,"土龙岗村",150422100,15,1504,150422
150422100216,"后兴隆地村",150422100,15,1504,150422
150422100217,"龙凤沟村",150422100,15,1504,150422
150422100218,"新房身村",150422100,15,1504,150422
150422100219,"孤山子村",150422100,15,1504,150422
150422100220,"东新井村",150422100,15,1504,150422
150422100221,"衙门庙村",150422100,15,1504,150422
150422100222,"索贝山村",150422100,15,1504,150422
150422100223,"水泉沟村",150422100,15,1504,150422
150422100224,"十三号村",150422100,15,1504,150422
150422100225,"北井村",150422100,15,1504,150422
150422100226,"馒头敖包村",150422100,15,1504,150422
150422100227,"福山村",150422100,15,1504,150422
150422100228,"白音沟村",150422100,15,1504,150422
150422100229,"兴隆庄村",150422100,15,1504,150422
150422100230,"白音高洛村",150422100,15,1504,150422
150422100231,"太平庄村",150422100,15,1504,150422
150422100232,"道老毛道村",150422100,15,1504,150422
150422101200,"镇内",150422101,15,1504,150422
150422101201,"隆兴村",150422101,15,1504,150422
150422101202,"隆发村",150422101,15,1504,150422
150422101203,"大庙村",150422101,15,1504,150422
150422101204,"南湾子村",150422101,15,1504,150422
150422101205,"双胜村",150422101,15,1504,150422
150422101206,"南福山村",150422101,15,1504,150422
150422101207,"隆胜村",150422101,15,1504,150422
150422101208,"乌兰哈达村",150422101,15,1504,150422
150422101209,"乌兰套海村",150422101,15,1504,150422
150422101210,"大二八地村",150422101,15,1504,150422
150422101211,"双井村",150422101,15,1504,150422
150422101212,"三段村",150422101,15,1504,150422
150422101213,"毛宝力格村",150422101,15,1504,150422
150422101214,"半拉石槽村",150422101,15,1504,150422
150422101215,"东沟村",150422101,15,1504,150422
150422101216,"姜家湾村",150422101,15,1504,150422
150422101217,"老房身村",150422101,15,1504,150422
150422101218,"古北口村",150422101,15,1504,150422
150422101219,"友好村",150422101,15,1504,150422
150422101220,"联合村",150422101,15,1504,150422
150422101221,"老烧锅村",150422101,15,1504,150422
150422101222,"敖包山村",150422101,15,1504,150422
150422101223,"进步村",150422101,15,1504,150422
150422101224,"常胜村",150422101,15,1504,150422
150422101225,"八段村",150422101,15,1504,150422
150422101226,"哈通河村",150422101,15,1504,150422
150422101227,"保安堂村",150422101,15,1504,150422
150422101228,"半拉沟村",150422101,15,1504,150422
